station,wave,value,invivo,bias,bias.cor.insitu
OUT-F18,609,0.154533745,0.17784414,-15.08433967,0.17784414
OUT-F18,610,0.153210728,0.177389474,-15.78136617,0.177389474
OUT-F18,611,0.151006886,0.175328668,-16.1064059,0.175328668
OUT-F18,612,0.154670734,0.177016236,-14.44714292,0.177016236
OUT-F18,613,0.150937238,0.175570421,-16.32014957,0.175570421
OUT-F18,614,0.152603791,0.175024494,-14.69210093,0.175024494
OUT-F18,615,0.151851727,0.172882392,-13.8494737,0.172882392
OUT-F18,616,0.150701463,0.171850323,-14.03361293,0.171850323
OUT-F18,617,0.151265411,0.171571382,-13.42406758,0.171571382
OUT-F18,618,0.152083545,0.17043539,-12.06694978,0.17043539
OUT-F18,619,0.149673608,0.171575435,-14.63305876,0.171575435
OUT-F18,620,0.150586769,0.168118744,-11.64244051,0.168118744
OUT-F18,621,0.151193186,0.16761612,-10.86221835,0.16761612
OUT-F18,622,0.147117496,0.16631794,-13.05109489,0.16631794
OUT-F18,623,0.148769444,0.165808141,-11.45308912,0.165808141
OUT-F18,624,0.148178563,0.164110855,-10.75208969,0.164110855
OUT-F18,625,0.143465734,0.164626565,-14.74974575,0.164626565
OUT-F18,626,0.147502174,0.160783096,-9.003882207,0.160783096
OUT-F18,627,0.146355347,0.161469808,-10.32723526,0.161469808
OUT-F18,628,0.145759972,0.161735944,-10.96046588,0.161735944
OUT-F18,629,0.143084973,0.160057814,-11.86207094,0.160057814
OUT-F18,630,0.144924958,0.158340176,-9.256665094,0.158340176
OUT-F18,631,0.145438404,0.157602015,-8.363410671,0.157602015
OUT-F18,632,0.146560005,0.156895356,-7.051958684,0.156895356
OUT-F18,633,0.139308427,0.154350563,-10.79772152,0.154350563
OUT-F18,634,0.142825149,0.155521388,-8.889358134,0.155521388
OUT-F18,635,0.140739637,0.154212074,-9.572596098,0.154212074
OUT-F18,636,0.140509065,0.152271823,-8.371529623,0.152271823
OUT-F18,637,0.140983049,0.15077637,-6.946452832,0.15077637
OUT-F18,638,0.1389333,0.15082866,-8.56192144,0.15082866
OUT-F18,639,0.137196017,0.148571378,-8.291320148,0.148571378
